,Country Name,Year,Value
537,New Zealand,1989,42.84614944
538,Nicaragua,1989,
539,Niger,1989,0.616119981
540,Nigeria,1989,4.122409821000001
541,Norway,1989,34.25194931
542,Oman,1989,3.26244998
543,Panama,1989,20.44702911
544,Papua New Guinea,1989,
545,Paraguay,1989,7.989079952000001
546,Peru,1989,29.59386063
547,Philippines,1989,26.13372993
548,Poland,1989,19.84487915
549,Portugal,1989,
550,Qatar,1989,18.84963036
551,Romania,1989,8.527810097
552,Russian Federation,1989,
553,Rwanda,1989,
554,Saudi Arabia,1989,
555,Senegal,1989,
556,Sierra Leone,1989,
557,Slovenia,1989,
558,Spain,1989,
559,Sri Lanka,1989,
560,St. Kitts and Nevis,1989,
561,St. Lucia,1989,
562,Suriname,1989,
563,Swaziland,1989,
564,Sweden,1989,
565,Switzerland,1989,
566,Syrian Arab Republic,1989,
567,Tanzania,1989,
568,Thailand,1989,
569,Tonga,1989,
570,Trinidad and Tobago,1989,
571,Tunisia,1989,
572,Turkey,1989,
573,Uganda,1989,
574,Ukraine,1989,
575,United Arab Emirates,1989,
576,United Kingdom,1989,
577,United States,1989,
578,"Venezuela, RB",1989,
579,Zimbabwe,1989,
580,Albania,1990,8.369110107000001
581,Argentina,1990,
582,Australia,1990,35.08403015
583,Austria,1990,32.57228851
584,"Bahamas, The",1990,
585,Bahrain,1990,
586,Bangladesh,1990,4.088009834
587,Barbados,1990,16.75488091
588,Belarus,1990,48.77965927
589,Belgium,1990,38.33956146
590,Benin,1990,2.122479916
591,Botswana,1990,
592,Bulgaria,1990,26.19759941
593,Burkina Faso,1990,0.7560600040000001
594,Burundi,1990,0.703069985
595,Cambodia,1990,0.631340027
596,Cameroon,1990,2.858259916
597,Central African Republic,1990,1.386430025
598,Chad,1990,
599,Chile,1990,
600,China,1990,3.0124700069999997
601,Colombia,1990,13.87662029
602,"Congo, Dem. Rep.",1990,2.1498000619999997
603,"Congo, Rep.",1990,4.903699875
604,Costa Rica,1990,26.74859047
605,Cote d'Ivoire,1990,
606,Cuba,1990,21.12830925
607,Cyprus,1990,9.027239799
608,Czech Republic,1990,16.16942024
609,Denmark,1990,34.12242126
610,Dominica,1990,
611,Ecuador,1990,19.54109001
612,"Egypt, Arab Rep.",1990,14.89008045
613,El Salvador,1990,16.07896996
614,Fiji,1990,
615,Finland,1990,44.50114059
616,France,1990,36.96326065
617,Greece,1990,24.93856049
618,Guatemala,1990,
619,Guinea,1990,1.207980037
620,Guyana,1990,5.789060116
621,Honduras,1990,8.908670425
622,Hungary,1990,14.68564034
623,Iceland,1990,25.59647942
624,India,1990,5.956150055
625,Indonesia,1990,8.37553978
626,Iraq,1990,
627,Ireland,1990,27.41753006
628,Italy,1990,29.54133987
629,Japan,1990,29.74918938
630,Jordan,1990,20.45195961
631,Kenya,1990,
632,"Korea, Rep.",1990,36.87472916
633,Kuwait,1990,11.99489975
634,Lao PDR,1990,1.132969975
635,Latvia,1990,24.865629199999997
636,Lebanon,1990,
637,Lesotho,1990,1.303509951
638,Libya,1990,11.40909958
639,Luxembourg,1990,
640,"Macedonia, FYR",1990,16.62268066
641,Madagascar,1990,3.4386799339999996
